doc_id,MLS,C_per_S,DC_per_C,DC_per_S,Coord_per_C,Coord_per_S,CN_per_C,CN_per_S
A32827,42.905,3.481,0.864,3.006,1.492,5.192,1.703,5.928
A93819,44.305,2.729,0.851,2.322,2.304,6.288,2.795,7.627
