doc_title,positive,negative,net_sentiment,positive_tfidf,negative_tfidf,net_tfidf_sentiment
Text A,365,256,109,0.005104105671368815,0.007367246865277625,-0.0022631411939088098
Text B,344,281,63,0.011367336085797776,0.016053108212767852,-0.004685772126970076
